frame,cpu_ms,gpu_ms
0,8.985334,22.784708
1,7.652416,23.377125
2,9.135542,22.659791
3,8.774917,21.921874
4,7.911875,21.967125
5,11.879625,19.119500
6,4.751041,22.643000
7,7.578667,24.261374
8,9.002542,23.013875
9,7.721291,22.854125
10,8.952375,22.686958
11,9.040209,21.813250
12,7.757833,23.060000
13,8.778792,21.683708
14,7.968208,22.333791
15,8.988667,21.201750
16,7.634958,22.900416
17,8.981125,22.308416
18,7.940542,23.041541
19,8.664125,21.374041
20,7.950416,23.131916
21,8.841917,21.609749
22,7.890042,22.719541
23,8.987208,20.996875
24,7.681792,22.770749
25,8.985583,21.252291
26,7.532167,22.577958
27,9.163000,20.953791
28,7.435083,22.838708
29,9.040167,21.376708
30,7.525833,22.064583
31,8.967750,21.151291
32,7.611333,22.997624
33,7.616375,22.981583
34,9.006375,21.643874
35,9.120000,21.022874
36,7.586000,22.770125
37,7.373250,23.382124
38,9.048292,22.173375
39,9.165333,20.555625
40,7.173875,21.310208
41,8.893709,21.165791
42,7.484875,22.342208
43,7.359000,22.979249
44,8.937750,20.982166
45,8.769416,20.563791
46,7.435792,20.981250
47,7.440125,22.110749
48,8.892875,20.596000
49,7.558417,22.082083
50,8.613750,20.790666
51,7.745500,21.990958
52,8.463708,21.665500
53,7.810542,22.928250
54,8.520125,22.266291
55,7.973541,22.093458
56,8.522000,21.048874
57,7.786625,21.870583
58,8.596084,21.164875
59,7.781333,22.790583
60,8.385125,21.891541
61,7.843542,22.391124
62,8.572083,20.684916
63,7.655167,22.324833
64,8.626666,20.937624
65,7.546125,22.848958
66,8.792250,21.757375
67,7.642542,21.795124
68,8.671875,20.911625
69,7.473625,23.049291
70,8.676292,21.514750
71,7.577291,22.337250
72,8.737625,20.382333
73,7.395000,22.472208
74,8.755959,20.882249
75,7.493291,22.859541
76,8.826917,21.526083
77,7.336542,22.429749
78,8.897583,21.683791
79,7.287292,21.879000
80,8.997250,21.689916
81,7.314791,22.449375
82,7.855792,23.927250
83,8.698708,23.334999
84,7.746667,24.849166
85,8.975000,23.797624
86,7.902750,25.128916
87,9.423875,23.698416
88,7.948333,25.799458
89,9.217417,24.498416
90,8.015207,26.368250
91,9.627750,24.543833
92,8.002124,26.563124
93,9.720167,26.596416
94,7.897167,27.026416
95,9.968583,26.821249
96,9.696458,24.946083
97,8.492834,26.390083
98,9.604125,24.760208
99,8.130666,26.300916
100,9.769792,24.542000
101,8.062917,27.608750
102,10.196291,25.587208
103,8.104417,27.281916
104,10.534500,26.188750
105,8.289542,26.051874
106,9.650083,26.470458
107,9.559708,24.408750
108,8.321000,26.599499
109,9.837292,24.586333
110,8.177000,26.203124
111,10.134167,24.086749
112,8.289249,25.085750
113,9.592625,23.803874
114,9.314541,22.772249
115,8.311417,24.061083
116,9.390833,22.144875
117,7.936500,24.268375
118,9.629209,22.096291
119,8.066541,23.827750
120,9.295500,22.274874
121,7.914417,24.533666
122,9.332250,22.317208
123,7.982125,23.061958
124,9.107833,21.927000
125,8.033583,22.563708
126,9.091500,21.649666
127,7.876750,23.143541
128,9.020000,22.485041
129,7.722250,23.589499
130,9.261166,21.023749
131,7.512542,23.072374
132,9.327417,21.270875
133,7.602416,23.974583
134,8.933917,21.677833
135,7.673500,23.308958
136,9.297333,21.394749
137,7.611417,23.549291
138,9.089000,21.730750
139,7.690417,23.382624
140,8.838125,22.396999
141,7.679875,23.207499
142,9.004166,20.901708
143,7.773209,22.995249
144,8.940708,22.436291
145,7.552750,23.260708
146,8.971292,20.974250
147,8.876916,21.177124
148,7.564417,20.945625
149,7.503875,22.012000
150,8.898792,20.951458
151,7.504458,22.273958
152,8.674042,21.942249
153,7.863250,22.430124
154,8.439375,20.829249
155,7.797916,22.533458
156,8.598292,20.705708
157,7.696000,22.236541
158,8.705667,20.965625
159,7.518458,22.864124
160,8.786875,21.661375
161,7.487708,22.208874
162,8.774834,21.613333
163,7.444791,22.530791
164,8.774250,20.525666
165,7.414250,22.396791
166,8.909667,20.436125
167,7.526708,21.615999
168,8.555750,20.655583
169,7.588000,21.942625
170,8.578459,20.807291
171,7.533333,22.031750
172,8.644833,20.876458
173,7.614500,22.082124
174,8.748084,20.768624
175,7.575041,22.176874
176,8.839334,20.272166
177,7.387208,22.278374
178,9.017000,20.302916
179,7.309792,22.201500
180,8.902333,20.678875
181,7.442125,21.153875
182,8.565250,22.070124
183,7.676250,21.267249
184,7.208750,22.711833
185,8.949458,20.653958
186,7.291167,22.186208
187,8.951958,20.667250
188,7.451042,22.036999
189,8.538583,20.974875
190,7.628584,22.252708
191,8.555958,21.033708
192,7.770833,22.003000
193,8.589084,20.340749
194,7.575333,22.056333
195,8.743792,20.370208
196,7.366875,21.863291
197,8.720666,21.058833
198,7.360250,22.549458
199,8.784625,21.879416
200,7.595125,22.097041
201,8.523875,20.734000
202,7.753375,21.968041
203,8.346709,20.870125
204,7.963250,21.747416
205,8.163957,21.191500
206,7.956708,22.439958
207,8.227499,21.489750
208,7.868792,21.749833
209,8.397500,22.132624
210,8.034416,21.686333
211,8.191875,21.075875
212,7.922041,21.990083
213,8.503500,20.894041
214,7.732042,22.549249
215,8.558500,21.370208
216,7.892000,20.883708
217,8.427542,22.270166
218,7.932916,20.323666
219,7.106834,22.529791
220,9.247583,20.357874
221,7.024167,23.525291
222,9.084041,20.838166
223,7.497375,22.251875
224,8.957750,21.907583
225,7.412209,22.648499
226,8.942833,21.264375
227,7.565458,23.409749
228,8.887209,20.772541
229,7.689208,23.721958
230,8.868375,20.533000
231,7.716917,23.278375
232,9.093458,21.528125
233,7.543083,23.625833
234,9.553542,20.910208
235,7.539583,23.395875
236,9.249709,21.836250
237,7.763958,23.870958
238,9.451917,21.937583
239,7.894958,25.308000
240,9.435375,23.665749
241,7.980458,24.425500
242,9.685167,24.056624
243,9.210667,23.330833
244,8.257750,24.745624
245,9.548291,24.035208
246,8.351542,24.684083
247,9.888958,22.816166
248,7.933125,25.259000
249,9.715250,23.216458
250,7.943125,25.482250
251,10.080125,22.718375
252,7.947042,25.693791
253,10.085875,24.740749
