frame num, cpu frame (ms), gpu frame (ms)
0,4.887167,14.182749
1,6.155875,12.903499
2,4.677666,14.407333
3,4.752875,14.229166
4,6.18425,12.983333
5,4.657542,14.454249
6,4.770333,12.658958
7,6.114334,15.13275
8,4.712125,14.908791
9,5.061541,12.928999
10,6.402542,14.64775
11,4.899708,13.154499
12,4.889042,14.403458
13,6.593917,12.200208
14,4.596875,14.374791
15,4.671625,14.758374
16,6.461041,12.465624
17,4.609834,14.661624
18,4.815916,13.246749
19,6.230417,13.24775
20,4.765292,14.422749
21,4.829375,13.735666
22,4.717833,15.180499
23,7.341708,12.733875
24,4.294709,14.807375
25,4.874458,14.52475
26,6.483125,13.288624
27,4.775917,14.511874
28,4.815333,13.228499
29,6.296792,14.794499
30,4.673791,15.470291
31,4.874959,14.109874
32,6.38325,14.063374
33,5.288375,13.494
34,5.035125,14.770999
35,6.636958,13.136374
36,4.963333,14.277666
37,4.674,14.925416
38,6.438334,13.011625
39,4.653916,15.023083
40,4.903584,14.152041
41,6.427791,13.416
42,4.652084,15.508458
43,5.232833,13.213875
44,6.3875,13.405958
45,4.968375,13.705583
46,4.989333,13.312833
47,4.870667,14.427291
48,6.297625,12.810291
49,4.658708,15.001499
50,4.772834,15.230874
51,6.39575,13.184333
52,4.937208,14.844083
53,4.940708,14.519916
54,6.534417,14.225583
55,4.747708,14.579
56,4.720834,12.083333
57,6.415875,13.657583
58,4.592208,15.24
59,4.910292,13.495249
60,6.903791,13.922458
61,4.373584,13.882083
62,4.837625,13.202791
63,6.22575,12.500291
64,4.614583,13.272999
65,4.737167,14.541583
66,6.47575,12.430666
67,4.569625,15.13
68,4.688625,15.527374
69,6.671125,13.113624
70,4.925541,15.138083
71,5.153709,12.838041
72,6.624875,12.867875
73,4.910958,14.377625
74,4.755083,13.3485
75,4.648,15.323541
76,7.574834,12.007749
77,3.921791,14.464208
78,4.894167,14.43425
79,6.30875,12.584749
80,4.7425,14.460458
81,4.685292,14.802708
82,6.4165,12.849249
83,4.67,14.953333
84,4.873625,12.728
85,6.185833,14.934125
86,4.9785,14.741999
87,4.934083,13.208999
88,6.502959,14.8235
89,4.945083,12.896666
90,4.956917,14.513
91,6.530291,14.424541
92,4.741375,12.744541
93,4.687084,14.737166
94,6.620208,11.844375
95,4.582708,14.453874
96,4.78025,14.622541
97,6.228709,13.5865
98,4.84475,12.824416
99,4.69875,14.625208
100,5.131083,12.639249
101,6.194125,15.1205
102,4.776292,15.733666
103,5.129416,13.654833
104,6.669667,15.000583
105,5.148,13.017083
106,4.899708,14.49825
107,6.412959,13.608999
108,4.832083,13.5155
109,4.806333,14.575124
110,6.524875,12.700541
111,4.656,14.134791
112,4.6815,14.192125
113,6.305584,12.855541
114,4.649375,14.076083
115,4.722083,14.308666
116,6.356625,12.810291
117,4.643417,14.280333
118,4.770333,12.901124
119,6.10525,13.384624
120,4.688667,15.358
121,5.235833,13.112
122,4.674917,14.576999
123,6.667958,12.636416
124,4.783625,14.267249
125,4.821208,14.31975
126,6.19625,12.619749
127,4.688292,13.044666
128,4.70875,14.409124
129,6.227708,13.733666
130,4.7315,13.652875
131,4.825084,15.049625
132,6.822625,12.758374
133,4.805375,14.52425
134,4.823583,14.403958
135,6.583083,12.6305
136,4.530167,14.611333
137,4.788833,13.26025
138,6.300334,12.89675
139,4.67825,14.577
140,4.825791,12.856458
141,6.110667,12.475833
142,4.680042,14.535833
143,4.858833,12.960333
144,6.064667,11.426999
145,4.857916,13.382291
146,4.544292,15.316999
147,4.891208,13.17175
148,6.689834,14.158874
149,4.790958,14.650958
150,4.868583,14.429875
151,6.514084,12.749291
152,4.630666,12.766375
153,4.766709,14.239041
154,6.457958,12.448208
155,4.51125,14.720875
156,4.745125,14.742208
157,6.53025,12.990166
158,4.561208,15.450375
159,4.815084,15.193125
160,6.898166,13.074999
161,4.977834,14.861166
162,4.970833,12.882958
163,6.456667,13.54675
164,4.914833,15.324875
165,5.132875,13.415666
166,4.98225,14.487875
167,6.587542,12.79025
168,4.690958,14.602416
169,4.714708,14.830874
170,6.387125,13.127416
171,4.669209,15.142583
172,4.677875,15.439916
173,6.701625,11.648458
174,5.297708,14.684833
175,4.716625,14.591
176,6.575292,12.59175
177,4.759208,14.246916
178,4.859667,12.619625
179,6.270791,12.401874
180,4.607625,14.607874
181,4.932417,12.121125
182,6.116417,15.291124
183,4.684541,15.306124
184,4.931834,12.626874
185,6.740166,14.321249
186,4.812084,13.041624
187,4.601416,14.65825
188,6.204709,13.292625
189,4.788416,13.083083
190,4.661709,14.494375
191,4.759416,13.010499
192,6.169459,14.419999
193,4.682375,14.632041
194,4.822791,13.122125
195,6.054459,15.292374
196,4.824375,12.613041
197,5.22125,14.129291
198,6.4905,14.490333
199,4.790958,13.472333
200,4.824667,15.018
201,6.782958,12.596458
202,4.732792,15.347458
203,5.059,15.131291
204,6.48875,12.609666
205,5.11925,14.513083
206,4.805,14.821666
207,6.416291,13.309708
208,4.706375,14.4775
209,4.761167,13.889666
210,6.534333,14.772083
211,4.8705,14.315875
212,4.980875,13.577291
213,6.523709,12.886749
214,5.056958,12.983041
215,4.632917,14.763874
216,4.678166,14.677041
217,6.7835,12.903625
218,4.491459,14.7885
219,4.758375,13.801666
220,6.285333,15.520583
221,4.863833,15.3655
222,5.033417,13.656124
223,6.729208,14.359374
224,4.921875,12.911875
225,4.682417,14.738375
226,6.327042,13.656374
227,4.742041,13.488458
228,4.830417,14.986875
229,6.785125,13.02775
230,4.799917,14.757916
231,4.879916,14.697625
232,6.601042,13.685749
233,4.572667,15.364041
234,4.838208,13.662999
235,6.93175,14.405541
236,4.691875,14.749499
237,5.085042,12.203999
238,6.376458,14.176291
239,4.604542,13.715624
240,4.816958,15.477
241,6.324833,14.637666
242,5.235834,13.371749
243,4.845583,14.688208
244,6.614708,12.698874
245,4.653709,14.625625
246,4.710041,14.753333
247,6.396542,12.968416
248,4.637583,15.132875
249,4.686584,15.456249
250,9.238416,10.187125
251,3.37675,13.983374
252,3.93575,14.642208
253,6.325584,12.932458
254,4.905,12.637624
255,4.792083,13.433083
256,4.731958,14.732625
257,6.312209,14.165458
258,4.723666,14.510916
259,4.816542,12.425125
260,6.07025,14.580499
261,4.712167,13.006791
262,4.77325,14.722624
263,6.2265,11.540499
264,5.09575,14.28175
265,4.680333,14.941
266,6.468292,13.128958
267,4.930625,14.484833
268,4.924625,14.246958
269,4.7105,14.738249
270,6.2555,14.499875
271,4.670333,14.852958
272,4.961625,11.761624
273,6.076625,12.517124
274,4.686083,12.787958
275,4.705875,15.120708
276,6.438375,13.079374
277,4.866542,14.74675
278,4.89425,14.571374
279,6.451042,12.59075
280,4.776208,14.099958
281,4.739917,12.769124
282,6.168791,12.730999
283,4.686084,12.805708
284,4.683458,14.688374
285,6.425917,12.923875
286,4.713208,12.89275
287,4.673542,14.132
