test_name,scene,variable,value,render_mode,N,K,styles_per_object,mean_cpu_ms,median_cpu_ms,p95_cpu_ms,p99_cpu_ms,max_cpu_ms,std_cpu_ms,mean_gpu_ms,median_gpu_ms,p95_gpu_ms,p99_gpu_ms,max_gpu_ms,std_gpu_ms
AreaScaling,TestScene3,Coverage,80,GPU,32,32,32,15.757248,15.834813,16.097972,16.350205,20.802916,0.512849,43.434550,43.397062,45.699108,46.106805,47.281874,1.220474
AreaScaling,TestScene3,Coverage,60,Fullscreen,32,32,32,15.146002,15.278813,15.417598,15.518146,15.616083,0.451990,41.604709,41.728687,43.006480,44.443166,44.602249,0.929362
AreaScaling,TestScene3,Coverage,60,CPU,32,32,32,12.254135,12.598250,12.728398,12.911997,13.664458,0.643712,33.470483,33.164770,35.130055,35.691778,36.597374,0.892583
AreaScaling,TestScene3,Coverage,60,GPU,32,32,32,12.167136,12.517375,12.638689,12.768613,14.736166,0.650919,32.978483,32.714250,34.345283,35.008732,36.424124,0.757582
AreaScaling,TestScene3,Coverage,20,Fullscreen,32,32,32,10.732592,11.143459,11.488386,12.373225,15.684041,0.841172,28.984201,28.865854,30.870918,31.405909,31.771666,0.922446
AreaScaling,TestScene3,Coverage,20,CPU,32,32,32,4.967748,4.547333,6.072748,6.161509,6.230833,0.678454,12.548852,12.688500,13.077998,13.167239,13.278291,0.550568
AreaScaling,TestScene3,Coverage,20,GPU,32,32,32,4.936377,4.531167,5.991571,6.056766,6.213666,0.661436,12.410504,12.601938,12.822066,12.883139,12.977083,0.507087
AreaScaling,TestScene3,Coverage,10,Fullscreen,32,32,32,9.581708,10.105813,10.245898,10.460794,11.703417,0.701269,25.638099,25.685146,27.018523,27.882401,28.110374,0.880716
AreaScaling,TestScene3,Coverage,10,CPU,32,32,32,3.164203,2.897813,4.346248,4.433762,6.949667,0.602537,7.507699,7.815104,8.808977,9.037749,9.122624,0.793437
AreaScaling,TestScene3,Coverage,10,GPU,32,32,32,3.153769,2.893666,4.343704,4.465574,7.773500,0.632592,7.396334,7.738395,8.286055,8.521668,8.908166,0.783679
AreaScaling,TestScene3,Coverage,40,Fullscreen,32,32,32,12.943669,13.193834,13.573237,14.157288,14.982833,0.643943,35.360259,35.000291,37.547887,39.126446,40.135833,1.176110
AreaScaling,TestScene3,Coverage,40,CPU,32,32,32,8.583746,9.159896,9.349101,9.413647,9.484458,0.706545,22.819785,22.792666,23.930653,24.810912,25.053875,0.806359
AreaScaling,TestScene3,Coverage,40,GPU,32,32,32,8.543589,9.092896,9.330038,9.403646,10.048958,0.717151,22.743385,22.838646,24.108843,24.809350,25.184833,0.880373
AreaScaling,TestScene3,Coverage,100,Fullscreen,32,32,32,19.260313,19.248938,19.394030,19.575812,20.454875,0.139428,53.490617,53.353500,55.612806,56.292146,56.507749,0.830659
AreaScaling,TestScene3,Coverage,100,CPU,32,32,32,19.254159,19.245001,19.384411,19.620644,20.148875,0.133338,53.466882,53.332438,55.262337,56.181620,56.409958,0.840643
AreaScaling,TestScene3,Coverage,100,GPU,32,32,32,19.160820,19.139251,19.363582,19.755439,22.741959,0.315247,53.261034,53.115167,55.607387,56.015246,56.317250,1.022526
AreaScaling,TestScene3,Coverage,0,Fullscreen,32,32,32,8.493067,9.041355,9.266955,9.413902,11.173417,0.712334,22.583215,22.489688,23.781621,24.601634,25.030374,0.834224
AreaScaling,TestScene3,Coverage,0,CPU,32,32,32,0.997585,0.977500,1.695308,2.225912,2.791750,0.346285,1.942560,1.808417,3.159143,3.310306,3.416833,0.514327
AreaScaling,TestScene3,Coverage,0,GPU,32,32,32,1.361771,1.261209,2.423879,2.706909,2.868583,0.425188,2.821635,2.561520,4.078921,4.160954,4.237625,0.631819
AreaScaling,TestScene3,Coverage,5,Fullscreen,32,32,32,9.222818,9.661292,10.195882,10.473133,12.364792,0.785289,24.794798,24.903396,26.334818,26.854563,27.178916,1.008491
AreaScaling,TestScene3,Coverage,5,CPU,32,32,32,2.343726,2.114500,3.690810,4.007735,5.660042,0.575396,5.620076,5.278416,6.932421,7.279845,7.487999,0.851087
AreaScaling,TestScene3,Coverage,5,GPU,32,32,32,2.305390,2.150730,3.524013,3.885298,6.208334,0.534101,5.124213,4.822000,6.357488,6.800718,7.765250,0.783105
AreaScaling,TestScene3,Coverage,80,Fullscreen,32,32,32,17.492795,17.483563,17.892265,18.207177,19.362375,0.297015,48.771879,48.599958,50.949439,51.426444,52.064124,1.123023
AreaScaling,TestScene3,Coverage,80,CPU,32,32,32,16.041021,16.070479,16.445204,16.624506,18.231875,0.419957,44.349189,44.323499,46.376632,46.971758,47.704749,1.049905
AreaScaling,TestScene3,Coverage,80,GPU,32,32,32,15.907202,15.929979,16.318341,16.456285,18.992667,0.441241,43.681425,43.819771,45.112243,46.135467,46.471166,0.993289
AreaScaling,TestScene3,Coverage,60,Fullscreen,32,32,32,15.228161,15.334250,15.678668,15.861857,28.618084,0.903055,41.772608,42.009896,43.167431,44.200515,44.946458,1.163919
AreaScaling,TestScene3,Coverage,60,CPU,32,32,32,12.386511,12.661771,13.031832,13.350973,14.466958,0.690146,33.681638,33.474833,35.210014,36.255624,37.016333,1.167310
AreaScaling,TestScene3,Coverage,60,GPU,32,32,32,12.301666,12.563417,12.938338,13.209704,14.150000,0.666842,33.310925,33.168354,34.911751,35.418094,36.382583,0.933978
AreaScaling,TestScene3,Coverage,20,Fullscreen,32,32,32,10.787943,11.156542,11.533715,11.700774,15.272375,0.751703,29.160843,29.091062,30.705406,31.134243,31.674499,0.793650
AreaScaling,TestScene3,Coverage,20,CPU,32,32,32,5.152563,4.730646,6.540415,7.495023,9.369875,0.866559,13.145396,13.372520,14.273379,14.508839,15.657208,0.921931
AreaScaling,TestScene3,Coverage,20,GPU,32,32,32,5.017114,4.573708,6.231313,6.460603,7.087250,0.717235,12.696758,12.681604,13.999285,14.177077,14.580875,0.765410
AreaScaling,TestScene3,Coverage,10,Fullscreen,32,32,32,9.765545,10.151646,10.720771,12.092260,18.057125,1.067860,26.155460,26.252270,27.748855,28.171564,29.307375,1.071365
AreaScaling,TestScene3,Coverage,10,CPU,32,32,32,3.210898,2.916438,4.466069,4.663344,6.261791,0.594086,7.537498,7.827812,8.555108,8.806635,9.210208,0.775905
AreaScaling,TestScene3,Coverage,10,GPU,32,32,32,3.195507,2.901834,4.475416,4.753955,8.647750,0.647989,7.635527,7.831146,8.775364,9.032988,9.297750,0.809688
AreaScaling,TestScene3,Coverage,40,Fullscreen,32,32,32,13.066266,13.274417,13.756759,13.993978,18.871834,0.775782,35.963127,36.013645,38.376213,39.136180,39.880750,1.454898
AreaScaling,TestScene3,Coverage,40,CPU,32,32,32,8.762714,9.227209,9.761838,10.017669,10.168958,0.789388,23.397921,23.447521,25.449879,25.941289,26.224541,1.081422
AreaScaling,TestScene3,Coverage,40,GPU,32,32,32,8.652809,9.125834,9.600761,9.691288,10.699417,0.758336,22.956208,22.935020,24.338695,24.988734,25.097875,0.925746
