frame num, cpu frame (ms), gpu frame (ms)
0,4.696,14.498124
1,4.904625,12.575374
2,6.199125,12.030999
3,4.579916,14.367749
4,4.76625,13.183958
5,6.129625,11.558958
6,4.719,13.115625
7,4.737709,14.6165
8,4.95125,12.68725
9,6.137625,14.338125
10,4.737541,14.444125
11,4.878792,12.412999
12,6.13175,14.4645
13,4.751792,12.249458
14,4.706,14.271333
15,6.297125,12.876374
16,4.69425,14.200875
17,4.709625,14.323666
18,6.289083,12.968374
19,4.629208,14.532999
20,4.802292,14.4555
21,6.370417,11.657333
22,4.702125,14.949083
23,4.725791,13.917208
24,5.156125,14.795625
25,6.737625,14.576041
26,4.947625,13.461041
27,5.02975,13.501458
28,6.705542,14.317624
29,4.946208,13.562374
30,4.895209,14.844458
31,6.558375,14.961625
32,4.880583,13.809208
33,5.040583,15.142708
34,6.65925,13.659125
35,4.897917,14.965041
36,5.147708,14.464708
37,6.60775,12.298124
38,4.644084,14.326
39,4.729958,14.018374
40,6.287958,13.55775
41,4.611584,14.737541
42,4.872583,13.87625
43,6.291,14.877875
44,5.074417,13.401291
45,4.930583,14.827416
46,6.409417,14.044708
47,4.837916,13.04175
48,4.949875,14.274375
49,6.35125,12.727875
50,4.582167,15.203416
51,4.691417,15.57975
52,6.51175,13.07825
53,5.119583,14.792458
54,4.877708,13.095416
55,6.520125,12.9525
56,4.828584,14.407333
57,4.81725,12.848916
58,4.6485,14.656125
59,6.21825,13.000291
60,4.700041,15.144083
61,4.817167,14.895583
62,6.88,12.761749
63,4.694958,14.719625
64,4.946709,14.352875
65,6.339875,12.731625
66,4.691958,14.556125
67,4.750875,14.163125
68,6.33825,12.901999
69,4.624875,14.559375
70,4.836417,12.67575
71,6.049583,13.285541
72,4.867958,13.012874
73,4.583417,15.331791
74,4.827875,15.006041
75,6.997292,13.202791
76,4.803,15.0235
77,4.883708,14.85775
78,6.628833,12.834708
79,4.877875,14.324749
80,4.831292,13.614624
81,6.157667,13.004624
82,4.657125,15.28975
83,4.872666,13.830458
84,6.359417,15.102125
85,5.057667,15.012791
86,5.038875,13.716833
87,6.530958,14.966791
88,4.987375,13.208499
89,4.95,14.669666
90,6.54575,13.282333
91,4.653417,15.165208
92,4.921041,15.144208
93,6.765209,13.465625
94,4.7095,15.205
95,4.931583,13.702583
96,6.551292,14.715791
97,4.939708,15.063458
98,4.902083,13.76975
99,6.971,13.023374
100,4.686292,15.082708
101,5.041292,13.031208
102,6.496583,14.770125
103,4.826125,13.168083
104,4.795458,14.515041
105,6.573584,14.25775
106,4.793916,12.593791
107,4.682417,14.2085
108,6.249708,12.658624
109,4.638459,12.781124
110,4.652125,14.61275
111,6.330875,11.777416
112,4.876208,12.72275
113,4.649667,14.605041
114,4.694958,14.817874
115,6.359833,13.429125
116,4.672417,15.139833
117,4.996083,13.073625
118,6.465084,14.348249
119,4.874875,14.463124
120,4.977166,12.691458
121,6.167292,14.611624
122,4.824875,12.538249
123,4.8595,14.376499
124,6.263125,14.674125
125,4.801375,12.231
126,4.682833,14.274166
127,6.287375,13.270291
128,4.722417,14.741
129,4.7205,14.563875
130,6.965667,12.225291
131,4.37125,14.341625
132,4.722166,14.492083
133,6.344084,10.494166
134,4.604208,14.522374
135,4.646375,14.557875
136,4.857458,12.545
137,6.072459,14.741749
138,4.693583,13.431875
139,4.840833,14.751249
140,6.479042,12.646874
141,4.788708,14.038249
142,4.676417,14.182749
143,6.333083,12.435625
144,4.56025,13.706666
145,4.679709,13.967124
146,6.200458,12.638791
147,4.6315,14.01375
148,4.718958,14.049541
149,6.224,11.027125
150,4.713584,13.972208
151,4.6825,14.115124
152,4.830583,12.461375
153,6.205583,13.773166
154,4.666209,13.998958
155,4.78775,12.662541
156,6.117416,13.770916
157,4.682792,12.980125
158,4.72675,14.141208
159,6.25775,12.58
160,4.8365,13.325416
161,4.730917,14.0695
162,4.826333,13.768166
163,6.452292,13.897999
164,4.731041,13.758125
165,4.930584,13.0535
166,6.214375,13.960166
167,4.737666,14.142958
168,4.716584,12.663083
169,6.204166,13.859916
170,4.782375,13.89375
171,4.697167,13.84125
172,6.159208,14.239333
173,4.63825,14.362999
174,4.900292,13.813541
175,6.545542,13.320333
176,4.773208,13.999541
177,4.82775,12.707708
178,6.208042,12.643125
179,4.846208,13.757874
180,4.567542,14.2425
181,6.365083,11.52175
182,4.728625,12.791374
183,4.79025,13.720416
184,4.713667,13.555541
185,6.229291,13.261791
186,4.683917,14.205625
187,4.961333,13.885374
188,6.462834,13.569041
189,4.856583,13.638208
190,4.919542,13.777874
191,6.409,14.085291
192,4.836333,14.191416
193,4.884833,14.182791
194,6.529459,14.780875
195,4.845458,15.407875
196,4.865333,14.712125
197,7.175834,14.489249
198,5.08875,15.28525
199,5.238916,14.656291
200,6.709542,14.953
201,5.093167,14.7615
202,5.000875,14.910083
203,6.485708,14.689625
204,5.060083,14.11375
205,4.95025,12.744166
206,6.18075,14.607416
207,4.746875,14.5765
208,4.814542,12.825541
209,6.231708,12.893499
210,4.774042,12.806208
211,4.562875,14.888625
212,4.690083,15.264458
213,6.615792,12.628708
214,4.843958,14.943374
215,4.925375,14.598499
216,6.515,14.381708
217,4.863375,14.390708
218,4.742667,14.629958
219,6.322333,14.327416
220,4.727959,12.533916
221,4.769833,12.017125
222,6.332833,11.692833
223,4.600584,14.984458
224,4.708541,15.16325
225,6.706625,10.988624
226,5.06175,14.47425
227,4.736459,14.296125
228,6.32175,14.131375
229,4.802625,14.057041
230,4.686666,14.423416
231,6.028959,12.800791
232,4.674583,14.580624
233,4.684083,14.681833
234,4.744,14.576291
235,6.4225,11.788833
236,4.605584,11.486499
237,4.85375,12.462249
238,6.294833,13.337
239,4.510167,14.506749
240,4.7185,14.803458
241,6.412666,14.06325
242,4.693292,15.167625
243,5.015167,13.668708
244,6.802208,14.483499
245,4.872875,13.428416
246,4.9485,14.410041
247,6.461625,14.364708
248,4.78575,12.314208
249,4.722458,14.801999
250,6.245584,13.776083
251,5.019041,14.850125
252,4.870167,15.141125
253,6.820625,13.20275
254,5.140917,14.641166
255,4.962458,14.395208
256,6.686208,12.679874
257,4.655417,14.427374
258,4.774,13.202833
259,6.251458,12.821124
260,4.768709,14.081333
261,4.720583,12.707791
262,4.704125,14.317625
263,6.28125,13.40525
264,4.594667,14.757666
265,4.846291,14.333958
266,6.464209,12.554874
267,4.779291,12.222749
268,4.628834,14.036875
269,6.197916,13.0235
270,4.607209,14.401333
271,4.671791,14.469416
272,6.290584,12.908
273,4.598125,14.257
274,4.677041,13.582625
275,6.338459,13.005375
276,4.608541,14.551125
277,4.87775,12.652125
278,6.216959,12.646624
