frame num, cpu frame (ms), gpu frame (ms)
0,4.780917,13.533041
1,4.814,15.010249
2,6.453666,12.852249
3,5.037459,13.360333
4,4.828041,14.97025
5,4.962167,13.269374
6,6.727542,14.281374
7,4.756916,14.112541
8,4.844834,13.342749
9,6.155708,14.503083
10,4.792417,12.7015
11,4.738416,14.337291
12,6.123167,14.851749
13,4.7775,13.197625
14,4.808792,14.260916
15,6.241,13.160708
16,4.750375,12.833999
17,4.834375,14.139375
18,6.248958,12.922374
19,4.608625,15.454999
20,4.889833,15.293541
21,6.828542,13.213416
22,5.282458,14.190375
23,5.139167,14.105166
24,6.525792,14.768208
25,4.859083,14.576374
26,4.868833,12.763958
27,6.565959,14.4075
28,4.665458,13.348375
29,4.775417,15.027333
30,6.326875,13.54225
31,5.466416,13.498083
32,4.416667,15.309374
33,4.927708,13.700624
34,6.788167,14.681666
35,4.870958,15.1135
36,5.004834,13.545833
37,6.304916,11.197874
38,5.396542,14.02925
39,5.084167,14.366708
40,6.39025,14.333625
41,4.834916,14.202
42,4.815875,14.406458
43,6.193167,14.535666
44,4.662292,14.688374
45,4.686958,13.399041
46,6.3355,14.913041
47,4.697333,15.195291
48,4.775584,13.663291
49,6.797416,14.375291
50,4.713834,13.710375
51,4.970125,14.787624
52,6.406916,14.123
53,4.928625,14.071875
54,4.9915,15.185999
55,6.833125,13.060416
56,4.813542,15.027
57,4.963917,14.936249
58,6.5405,13.873375
59,5.011041,12.7205
60,4.87,14.386083
61,6.2305,13.087541
62,4.685209,12.866874
63,4.745416,14.406708
64,6.241209,12.879708
65,4.694708,13.430708
66,4.715333,15.133875
67,6.343667,12.054958
68,5.226375,14.942499
69,4.934708,14.789458
70,6.419625,13.070124
71,4.963875,14.667374
72,4.803834,14.657208
73,4.785708,15.028499
74,6.518292,15.478041
75,4.726,15.854875
76,4.9985,13.160708
77,7.256833,14.6325
78,4.7555,14.703374
79,4.96825,14.827749
80,6.662458,15.132291
81,4.84925,14.900666
82,5.173209,14.584874
83,6.6085,14.461541
84,4.921333,14.277374
85,4.709583,12.913124
86,6.279542,11.801791
87,4.704333,12.752708
88,4.757792,12.62675
89,6.085167,14.426916
90,4.816458,12.992375
91,4.658458,12.709499
92,6.143584,12.932333
93,4.730416,12.956999
94,4.697542,13.114
95,4.68925,14.406999
96,6.188125,13.311458
97,4.788417,13.773333
98,4.686666,14.018749
99,6.896834,14.986666
100,4.834291,13.570124
101,4.957417,15.019499
102,6.822625,13.312249
103,4.79475,15.071541
104,4.931958,14.634999
