frame,cpu_ms,gpu_ms
0,3.157292,6.490125
1,4.364375,6.529749
2,3.286541,7.1775
3,3.103584,8.903958
4,3.397166,8.517249
5,3.726334,7.088458
6,4.921041,6.996916
7,3.296084,8.631416
8,3.523166,8.223249
9,3.5975,7.273749
10,5.028375,7.562624
11,3.551125,7.300458
12,3.450709,8.309208
13,4.059916,8.175874
14,3.482209,9.568541
15,4.473666,9.496666
16,3.271542,7.990916
17,6.087375,8.46425
18,3.175208,7.072624
19,4.767792,6.623333
20,3.570917,7.928416
21,3.395958,7.928333
22,3.265542,6.481124
23,4.5065,7.138708
24,3.200958,7.170875
25,3.095833,8.623
26,3.805209,8.029374
27,3.305083,6.516499
28,4.790625,6.52375
29,3.08,8.10075
30,3.178917,8.201791
31,3.220166,6.569999
32,5.922875,6.460874
33,2.494667,6.422916
34,2.886833,7.931625
35,3.109542,7.998416
36,3.226583,6.458749
37,4.585167,6.414583
38,3.239833,8.599166
39,3.054209,8.649
40,3.172833,6.463666
41,5.360458,6.473041
42,3.099875,6.436125
43,3.178542,7.794625
44,3.201958,7.863125
45,3.303875,6.466541
46,4.446542,6.480125
47,3.262542,6.448375
48,3.112875,8.679291
49,3.323333,8.722624
50,3.138708,6.47225
51,5.271834,6.458166
52,3.159958,6.414958
53,3.215875,7.879291
54,3.236375,7.913124
55,3.057917,6.484874
56,4.608583,6.48375
57,3.082417,7.953124
58,3.207458,7.999624
59,3.345,6.470583
60,4.554917,6.481
61,3.307875,7.149624
62,3.1185,8.604125
63,3.288125,7.955333
64,3.609,6.488375
65,4.693625,6.528083
66,3.185291,6.519749
67,3.237042,7.914333
68,3.281917,7.91675
69,3.163208,6.553666
70,4.5455,6.510708
71,3.173042,8.42825
72,3.168375,8.860166
73,3.382291,6.462041
74,5.395042,6.464125
75,3.288792,6.437
76,3.062458,7.879833
77,3.252,7.914166
78,3.246792,6.475124
79,4.413333,6.488875
80,3.164292,6.43025
81,3.32175,7.9455
82,3.102208,8.02225
83,3.184167,6.509375
84,4.532416,6.461583
85,3.235375,7.070124
86,3.345417,8.54175
87,3.175875,7.953624
88,3.523125,6.591916
89,4.701542,6.55775
90,3.207041,8.037124
91,3.306292,8.043374
92,3.432042,6.535624
93,4.440625,6.551124
94,3.269916,7.16275
95,3.226292,8.556249
96,3.150875,7.928
97,3.707167,6.499874
98,4.687875,6.45675
99,3.214541,7.946499
100,3.191542,8.045125
101,3.197583,6.545874
102,4.579834,6.005083
103,3.358416,6.446666
104,3.099459,7.96125
105,3.292833,7.992208
106,3.0765,6.477166
107,4.629917,6.480041
108,3.230375,6.4255
109,3.275583,8.613375
110,3.302333,8.691375
111,3.185875,6.513416
112,5.039125,6.538999
113,3.317459,6.507958
114,3.163458,7.903749
115,3.272333,7.92375
116,3.109334,6.501208
117,4.541458,7.133333
118,3.172458,8.512833
119,3.181875,7.882583
120,3.8485,6.466499
121,4.543584,6.464916
122,3.2575,6.431374
123,3.16275,7.914041
124,3.187875,7.956458
125,3.119291,6.46275
126,4.568625,6.478374
127,3.233917,6.429041
128,3.144625,7.862625
129,3.346083,7.908833
130,3.150959,6.4755
131,4.332541,6.499749
132,3.200917,6.462375
133,3.184333,8.487
134,3.361417,5.722291
135,5.595292,6.543249
136,4.074874,5.756791
137,2.102875,7.832749
138,2.966,7.886958
139,3.125916,6.474875
140,4.549959,6.534124
141,3.07075,6.609666
142,3.176083,8.205291
143,4.698083,7.626874
144,1.995667,7.476125
145,6.036875,6.729458
146,2.947208,6.663333
147,3.036292,7.892166
148,3.007958,7.688125
149,3.406375,6.532375
150,4.335584,6.476708
151,3.1835,7.821875
152,3.274833,7.871874
153,3.18225,6.497583
154,4.510167,6.515874
155,3.141583,7.130875
156,3.222708,8.565749
157,3.504917,7.941375
158,3.627083,6.52625
159,4.509375,6.548
160,3.26925,7.95825
161,3.163834,7.958
162,3.397166,6.502625
163,4.421542,6.500916
164,3.216708,6.429499
165,3.356834,8.503083
166,3.039,8.093291
167,3.232541,6.450625
168,5.097625,6.467833
169,3.174542,6.456124
170,3.071792,7.872458
171,3.347125,7.900374
172,3.167333,6.471833
173,4.502667,6.506791
174,3.11775,6.454583
175,3.154875,7.926625
176,3.238541,8.002666
177,3.116334,6.492291
178,4.642375,6.482041
179,3.273916,7.094708
180,3.17525,8.536875
181,3.221417,7.93025
182,3.711542,6.500708
183,4.653041,6.446541
184,3.157375,7.827874
185,3.28425,7.896583
186,3.341459,6.482249
187,4.237875,6.502333
188,3.295666,6.44675
189,3.191375,8.526791
190,3.424417,8.6095
191,3.076417,6.511833
192,4.994375,6.429874
193,3.233083,7.779583
194,3.33175,7.852958
195,3.244708,6.491375
196,4.2865,6.514125
197,3.283084,6.449375
198,3.215916,7.098166
199,3.43725,7.872666
200,2.760417,6.469625
201,4.601458,6.492583
202,3.216584,7.190916
203,3.155041,8.582833
204,3.283875,7.88575
205,3.771584,6.479875
206,4.553041,6.553958
207,3.230459,6.555916
208,3.127708,8.091666
209,3.249708,8.08975
210,3.181542,6.479499
211,4.871,6.410416
212,3.220375,8.638333
213,3.144667,8.711166
214,3.101166,6.462375
215,5.357709,6.414291
216,3.270333,6.40225
217,3.139708,7.95325
218,3.140875,7.981874
219,3.117167,6.479625
220,4.610625,6.552499
221,3.1485,8.017208
222,3.15475,4.496125
223,6.5905,5.457375
224,2.095292,6.470833
225,2.900458,6.416416
226,2.914083,8.655374
227,3.142834,8.798041
228,3.349166,6.524124
229,5.11675,6.392833
230,3.191292,6.445958
231,3.143417,7.902874
232,3.369916,7.975624
233,3.047,6.496291
234,4.679875,6.481
235,3.086334,6.435833
236,3.204541,8.641666
237,3.270792,8.729916
238,3.3565,6.510208
239,5.146625,6.453166
240,3.273917,7.832541
241,3.0015,7.896208
242,3.31975,6.482666
243,4.481916,6.500749
244,3.32275,6.481583
245,3.023917,7.841249
246,3.226083,7.884458
247,3.321292,6.492999
248,4.377875,6.529291
249,3.1825,6.465666
250,3.188083,8.630875
251,3.402084,8.650791
252,3.019291,6.492708
253,5.301375,6.575708
254,3.240459,6.529208
255,3.067375,7.930291
256,3.400208,7.962749
257,3.154625,6.501875
258,4.537958,6.447583
259,3.225334,8.566
260,3.112958,8.634916
261,3.292,6.5235
262,5.202,6.507291
263,3.293792,6.412208
264,3.166541,7.876208
265,3.154125,7.943124
266,3.274667,6.4835
267,4.399792,6.442874
268,3.242125,7.828583
269,3.146541,7.874458
270,3.297625,6.474333
271,4.352042,6.49575
272,3.312833,7.177875
273,3.164792,7.1095
274,3.23175,7.809499
275,3.685542,7.881249
276,3.288625,6.468499
277,4.488375,6.421125
278,3.214083,7.868708
279,3.229833,7.91075
280,3.221209,6.469374
281,4.438416,6.477708
282,3.195417,6.430249
283,3.177667,8.663874
284,3.128291,8.712625
285,3.435959,6.475875
286,5.139583,6.499499
287,3.184833,6.456875
288,3.099167,7.916499
289,3.339042,8.010708
290,3.269166,6.553333
291,4.387584,6.64175
292,3.398458,8.301833
293,3.170333,7.112374
294,4.020959,6.608416
295,4.091,7.272375
296,3.415875,7.223291
297,3.048625,8.016125
298,3.856375,8.1225
299,3.325666,10.585749
300,4.636375,10.51625
301,3.419834,8.100958
302,6.967666,8.1965
303,3.277792,7.337625
304,4.73625,7.207166
305,3.23,7.965625
306,4.085333,8.039291
307,3.081084,6.49125
308,4.709125,6.430958
309,3.099083,7.872416
310,3.261583,7.929708
311,3.27525,6.476291
312,4.434084,6.475624
