frame,cpu_ms,gpu_ms
0,0.855917,1.911291
1,0.956625,2.076333
2,1.070125,1.92575
3,0.856958,1.943624
4,0.901833,1.998999
5,0.966084,2.046375
6,0.945583,1.9795
7,0.816333,2.194499
8,0.978917,2.228499
9,0.947625,2.397583
10,1.017207,2.281875
11,1.083875,3.71475
12,2.047667,2.789375
13,0.865458,2.307874
14,1.971584,1.545291
15,1.275541,1.644124
16,0.880584,1.043374
17,1.765708,1.018041
18,1.2425,1.204333
19,0.698958,1.435499
20,0.691792,1.755083
21,0.8705,1.788916
22,0.869458,1.778166
23,1.079834,3.302166
24,0.679875,3.690291
25,0.895375,3.648124
26,2.693708,1.468541
27,1.012999,1.779999
28,0.889458,1.882166
29,0.817042,1.9915
30,1.064417,1.878499
31,0.874333,1.930666
32,0.897167,1.919541
33,0.893291,1.9755
34,0.854,2.153875
35,0.991625,2.074416
36,0.827542,2.140208
37,1.011792,2.088041
38,0.898333,2.073041
39,0.984083,1.953208
40,1.06075,2.243833
41,0.840084,3.424416
42,0.861666,3.342541
43,1.373167,2.964041
44,1.922583,1.981874
45,1.010042,1.961333
46,0.870833,1.984874
47,1.784125,1.196416
48,0.574125,1.611875
49,0.597417,2.030708
50,0.863583,2.014875
51,0.997375,1.703624
52,0.951709,1.789583
53,1.230791,1.589749
54,0.780875,1.854625
55,0.945959,1.87525
56,0.913125,2.022999
57,0.915666,3.444375
58,1.155167,3.180249
59,1.772625,1.694625
60,1.385167,1.837
61,1.082166,1.924499
62,1.046416,1.725166
63,0.764292,2.0035
64,0.987125,1.791833
65,1.182833,1.720124
66,1.004458,1.664166
67,0.578875,2.349624
68,1.047375,2.198375
69,1.01225,2.030375
70,1.100084,1.939875
71,0.785791,2.305374
72,1.0225,2.178708
73,1.0835,1.850833
74,1.708875,1.209791
75,0.617584,1.563124
76,0.585625,1.881958
77,0.871458,1.912583
78,0.892625,1.906
79,0.823583,2.002458
80,0.936792,3.199249
81,0.841833,3.236874
82,1.093042,3.107624
83,1.917167,2.051874
84,0.958541,2.032083
85,0.929709,2.035249
86,0.879125,2.040499
87,0.908083,2.066
88,0.886417,2.058583
89,0.949,2.193291
90,0.979416,3.260083
91,0.832459,3.391875
92,1.847666,2.330208
93,1.439209,1.912916
94,0.874666,1.975
95,0.764167,2.086458
96,0.910625,2.039875
97,0.968417,2.335749
98,0.876166,2.357999
99,0.947917,2.358499
100,1.179458,1.984249
101,0.977959,1.992875
102,0.935083,1.996041
103,0.784167,2.075499
104,0.943708,2.426916
105,0.907,2.392374
106,0.909458,2.381083
107,1.262375,2.036833
108,0.947792,1.993041
109,0.814083,2.074958
110,0.9385,2.068249
111,0.9355,2.029374
112,0.891834,2.040249
113,0.972666,3.09725
114,0.931334,3.051208
115,0.788625,3.220999
