frame,cpu_ms,gpu_ms
0,3.419375,1.99575
1,1.688083,2.500374
2,0.854959,2.965874
3,1.343666,2.581249
4,1.327125,2.496208
5,1.089125,2.657041
6,1.085209,2.856291
7,1.14875,2.872458
8,1.183291,2.687541
9,1.316167,3.497958
10,1.128708,2.92525
11,3.267375,2.619291
12,0.823542,2.965666
13,0.585458,2.755791
14,2.311042,2.660458
15,1.089458,3.132874
16,0.97225,4.147124
17,1.643667,3.699499
18,1.633792,2.97
19,1.857375,2.283916
20,1.385125,2.492291
21,1.44425,1.916125
22,2.672083,1.861416
23,1.841417,1.896416
24,0.96,2.348666
25,0.987875,2.719125
26,1.750708,2.306541
27,1.170125,2.63825
28,1.419167,2.433749
29,1.530916,2.3775
30,1.063167,2.900208
31,1.197167,2.685624
32,1.865083,1.309041
33,1.439583,2.489999
34,0.892334,2.392458
35,2.726958,2.415125
36,2.00575,2.253833
37,1.251792,3.690083
38,1.198083,3.863416
39,1.237792,3.853666
40,2.258208,2.368791
41,1.426083,3.298458
42,1.02925,2.208916
43,3.118,1.496833
44,0.633834,3.800875
45,0.586791,4.109375
46,1.202167,3.384749
47,2.785875,1.828458
48,1.234917,3.491
49,1.000166,2.858499
50,3.765667,1.157624
51,1.326542,1.494499
52,0.69875,1.994125
53,0.605541,2.530874
54,1.067417,2.863958
55,1.123042,2.87175
56,1.096,2.844458
57,1.379208,2.957375
58,1.15175,3.675749
59,1.18875,4.548208
60,1.404708,4.800375
61,1.915584,4.315375
62,2.944333,2.028374
63,1.352708,2.820375
64,1.29475,1.517166
65,3.096209,1.601499
66,0.984291,2.23075
67,0.707917,2.646291
68,0.959625,3.923666
69,1.33975,3.886666
70,1.042791,3.703166
71,2.388625,2.561375
72,1.337791,2.092374
73,1.562,2.821166
74,1.644042,2.518166
75,0.983417,3.035875
76,1.11025,3.249499
77,1.170708,2.888499
78,1.534458,2.5505
79,1.353792,2.607624
80,1.176875,3.961749
81,1.141375,5.144124
82,2.305792,2.959125
83,1.724583,3.294124
84,1.890708,2.926124
85,1.3405,2.717124
86,1.346,4.144041
87,1.699542,2.467958
88,3.667125,1.304333
89,1.066125,3.347291
90,1.04275,3.718958
91,1.27375,3.949
92,2.167667,3.096083
93,2.298625,2.426874
94,1.463791,2.373124
95,0.649792,2.387124
96,1.733083,3.020666
97,1.309375,2.350416
98,3.272459,1.198708
99,0.894666,1.740499
100,0.806,3.858458
101,0.889792,4.571916
102,2.326417,2.9915
103,1.827708,4.406083
104,1.544458,2.757833
105,4.012125,1.492749
106,1.200417,1.953333
107,0.789792,2.492874
108,0.844708,2.753166
109,1.285167,2.482249
110,1.414541,3.869166
111,1.269334,3.638125
112,1.390666,3.153999
113,2.649834,1.830416
114,1.47025,1.94125
115,1.275958,2.592166
116,0.8915,3.446999
117,1.319,2.511375
118,1.607583,3.554
119,1.399,2.828791
120,3.463709,3.508124
121,1.460208,2.798874
122,1.251917,4.148875
123,2.399208,2.723
124,1.297667,3.346958
125,1.536791,2.73875
126,2.963334,1.336125
127,1.210291,1.809249
128,0.593292,2.125749
129,0.990667,3.642458
130,1.071166,2.634708
131,3.625042,1.357999
132,1.623792,2.133333
133,0.895041,2.624708
134,0.734167,2.896124
135,1.773125,2.606458
136,1.426292,3.387333
137,1.050166,2.987875
138,3.745834,1.1535
139,0.677125,1.554999
140,0.5785,2.118624
141,0.630625,2.537124
142,1.216708,2.726875
143,1.04525,4.007416
144,1.117167,3.809874
145,4.327916,2.063333
146,1.175459,2.392416
147,0.802333,3.323625
148,1.4405,2.649125
149,1.348125,2.271374
150,1.365,2.421249
151,1.179125,2.336666
152,0.930875,2.486333
153,1.101542,3.071083
154,1.04475,3.525875
155,1.42125,3.876208
156,1.432541,4.213791
157,2.42025,3.437583
158,1.638084,3.282541
159,1.226666,3.363874
160,1.590834,3.429124
161,1.349458,2.36575
162,2.95625,1.4825
163,1.052333,1.854666
164,0.804667,2.53975
165,0.87875,3.34375
166,1.451333,4.470916
167,3.583375,1.189583
168,2.201209,2.02825
169,1.395833,2.947249
170,1.223292,2.830041
171,1.2,3.109208
172,1.931333,2.045249
