frame,cpu_ms,gpu_ms
0,3.049916,7.729874
1,3.071042,8.919833
2,2.894083,9.166333
3,3.297834,8.840291
4,4.280750,6.833625
5,3.147125,8.157499
6,3.109125,8.647125
7,2.851166,8.793874
8,4.324792,7.439624
9,3.021458,7.362499
10,2.959292,7.454875
11,3.039208,8.422041
12,2.868500,8.811875
13,3.140250,8.632375
14,4.225000,7.015083
15,2.972584,7.047291
16,2.976000,8.348125
17,2.905750,8.167916
18,3.021750,8.341500
19,4.330583,6.219499
20,3.219542,5.918083
21,2.678166,8.162291
22,2.951792,8.481500
23,2.874917,8.378125
24,4.169457,6.793208
25,2.945542,6.901333
26,2.913833,8.185458
27,2.908042,8.609166
28,2.889416,8.645708
29,4.196667,7.059999
30,3.008208,6.093541
31,2.995667,7.961625
32,2.985875,7.889541
33,2.563583,8.182500
34,4.262250,7.071499
35,3.026125,6.671666
36,2.945500,6.372374
37,3.004250,7.587000
38,2.587875,8.020250
39,2.941834,7.450833
40,3.980708,6.226833
41,3.094292,5.965249
42,3.013000,6.806874
43,2.758041,7.555333
44,2.845084,8.131250
45,4.042708,7.120499
46,2.786708,6.906666
47,2.940250,6.884375
48,2.857750,7.981250
49,2.878292,7.886625
50,3.023958,7.840499
51,3.938625,6.928250
52,2.976500,6.867750
53,2.820250,7.837583
54,2.952459,8.022999
55,2.988041,7.595708
56,3.902500,6.569375
57,2.976834,6.514833
58,2.704708,8.109500
59,2.845625,8.386875
60,2.947208,8.336833
61,4.034500,6.678999
62,2.955375,6.388125
63,2.877917,7.677000
64,2.621458,8.111083
65,2.974459,7.980458
66,4.035707,6.474916
67,3.076750,5.707124
68,2.863708,5.984208
69,2.641125,7.733625
70,2.603167,8.060666
71,2.860875,7.816333
72,4.083875,6.858624
73,2.954042,6.669416
74,2.766541,6.344666
75,3.049709,6.469666
76,2.745333,7.057624
77,2.641167,7.651458
78,4.061166,6.707999
79,2.735917,6.436499
80,2.886917,7.692625
81,2.930166,7.714624
82,2.531709,7.499124
83,4.085666,5.956416
84,3.079584,6.266083
85,2.462000,6.563125
86,2.931625,7.756416
87,2.678750,7.675250
88,2.776708,7.531958
89,4.162750,6.568750
90,2.549125,6.640708
91,2.952458,7.843374
92,2.932209,6.612750
93,2.633541,7.079125
94,4.077167,6.491875
95,2.611667,6.389749
96,2.786916,6.756374
97,2.936917,7.742166
98,2.708042,7.815833
99,2.900500,7.839291
100,3.987458,6.642125
101,2.760000,6.396458
102,2.894875,8.092750
103,2.698250,7.658583
104,2.877000,7.520958
105,3.962083,6.591500
106,2.558375,6.656041
107,2.921042,6.621000
108,2.918417,7.460249
109,2.592625,8.042374
110,2.907958,7.946499
111,4.005582,5.794874
112,2.872292,5.907999
113,2.948917,7.432625
114,2.544333,7.770583
115,2.913292,7.536374
116,3.863333,6.572583
117,2.799875,6.930124
118,2.940375,6.974374
119,2.620250,8.055624
120,2.842417,8.137458
121,2.985458,7.909249
122,4.016708,6.546000
123,2.994167,6.636250
124,2.759583,7.988666
125,2.775250,8.159875
126,3.011000,7.015874
127,4.004083,6.473249
128,2.991875,6.206625
129,2.796166,7.698624
130,2.529125,8.416499
131,2.969292,8.355166
132,3.986125,6.477124
133,2.954750,6.483916
134,2.895750,6.141333
135,2.513917,7.941749
136,2.834458,8.363958
137,2.911708,7.649749
138,3.959375,6.631291
139,2.973709,6.460041
140,2.595458,6.468500
141,2.892667,7.553249
142,2.906875,7.659333
143,2.491458,7.840500
144,4.197125,6.605874
145,2.799917,6.305958
146,2.804791,7.822416
147,2.894500,6.962791
148,3.114292,6.318749
149,3.729000,6.428166
150,2.789792,6.552166
151,2.516875,6.675416
152,2.959750,8.289374
153,2.895916,7.979874
154,2.647375,8.101999
155,4.222584,6.745291
156,2.579291,7.096208
157,2.887500,8.453250
158,2.968584,8.199749
159,2.542291,8.559458
160,4.243167,7.350250
161,2.684833,7.127374
162,2.855625,7.274583
163,2.903167,8.569625
164,2.579042,8.703500
165,2.915500,8.720583
166,4.183665,7.375499
167,2.655292,7.552874
168,2.907750,8.866999
169,2.847375,8.560999
170,2.929875,8.445124
171,4.014042,7.446083
172,2.540000,7.689541
173,2.933000,7.647000
174,2.921625,8.727333
175,2.742833,9.192208
176,2.981583,9.105291
177,4.135875,7.717874
178,3.053792,7.521291
179,2.828833,8.594583
180,2.773334,8.845000
181,2.936416,8.773916
182,3.856375,7.859624
183,2.957417,7.730124
184,2.954875,7.642083
185,2.848625,8.847749
186,2.884208,8.999875
187,2.913125,8.824500
188,4.025166,7.888041
189,3.030208,7.738625
190,2.885125,8.891166
191,2.923709,8.851874
