frame,cpu_ms,gpu_ms
0,1.79575,6.252791
1,3.692459,4.494083
2,1.604875,4.965041
3,2.103041,4.790374
4,2.069249,4.70925
5,2.073542,4.946541
6,2.066042,4.990124
7,2.04025,6.906083
8,2.0365,6.898958
9,2.057791,6.387916
10,4.005,4.7345
11,2.05275,5.022208
12,2.010708,5.167458
13,2.2385,4.418375
14,2.013833,6.728
15,2.236958,6.752499
16,1.793125,7.288
17,4.271042,4.797499
18,2.048874,4.691541
19,2.084083,4.793124
20,2.265292,4.723916
21,2.088375,6.733624
22,2.160375,6.846541
23,2.028458,6.847125
24,4.223959,5.051875
25,2.053624,5.522083
26,2.032665,5.363958
27,2.422959,7.019625
28,2.566958,6.442416
29,2.06,6.377874
30,3.849375,4.559791
31,2.083625,4.998791
32,2.022792,4.979041
33,1.988916,5.117999
34,2.489792,6.563875
35,2.001332,6.541333
36,2.147959,6.371166
37,3.903541,4.845083
38,2.113417,4.930291
39,2.004541,4.9555
40,2.19775,4.753041
41,2.158541,6.736624
42,2.083125,6.762624
43,2.067292,6.463875
44,4.051249,5.044999
45,2.079958,5.241166
46,1.993292,5.137125
47,2.465708,4.788958
48,2.223417,6.572416
49,2.182667,6.467583
50,1.958833,6.173625
51,3.921125,4.248624
52,2.051,4.708791
53,1.99775,4.797125
54,2.199917,4.706999
55,2.040375,6.536166
56,2.048166,6.556166
57,2.059791,6.242666
58,3.8785,4.399124
59,2.101167,4.363875
60,2.067832,4.170999
61,2.044957,4.518083
62,2.088417,6.104166
63,2.072957,6.1155
64,1.881334,5.893791
65,3.627125,4.455875
66,2.036375,4.397874
67,1.947375,4.576041
68,1.917875,4.575791
69,2.1045,3.765124
70,2.327041,5.421416
71,1.816542,6.123541
72,1.794,6.235499
73,3.859375,4.487666
74,1.992,4.556166
75,1.831917,4.675375
76,2.14,4.45225
77,2.011333,4.525541
78,1.965083,5.776625
79,2.262417,5.744541
80,1.847667,5.804999
81,3.622791,4.373
82,1.86875,4.489916
83,1.937125,4.268916
84,2.073459,4.235041
85,1.908041,6.052708
86,1.715459,5.779874
87,2.098125,5.252999
88,3.684208,4.274541
89,2.03625,4.2445
90,1.803583,3.951499
91,1.868375,4.007583
92,1.975042,4.116958
93,1.684917,5.750833
94,1.783958,5.706583
95,2.087292,5.644874
96,3.444708,3.4985
97,2.222708,3.7305
98,1.693959,4.056041
99,1.923291,4.18625
100,1.979417,4.177166
101,1.67425,5.756916
102,2.060708,5.902374
103,2.11575,5.679916
104,3.209792,4.719375
105,2.022167,4.18
106,2.095416,3.490541
107,1.990584,4.120083
108,1.583166,4.575375
109,1.861584,6.271375
110,2.045999,6.423625
111,1.964916,6.05225
112,3.549084,4.79575
113,2.114458,4.503874
114,2.038666,4.486124
115,1.725375,4.805708
116,1.714291,5.028375
117,2.087375,6.557249
118,2.013709,6.807375
119,1.886375,6.543374
120,3.884208,4.310374
121,2.0735,4.133124
122,1.719125,4.6875
123,1.541667,5.225291
124,2.053916,5.614208
125,2.080499,5.548499
126,2.071625,6.046
127,3.696625,4.421541
128,2.055041,4.248166
129,2.086042,4.249874
130,1.796333,4.209541
131,2.191333,4.125499
132,1.68475,6.160625
133,2.069667,6.168541
134,1.890208,5.584916
135,3.701375,3.681625
136,2.172584,3.56725
137,1.832083,4.134541
138,1.445292,4.705374
139,2.092582,6.591624
140,2.046708,6.596249
141,2.076334,6.202124
142,3.903791,3.507708
143,2.192959,3.640624
144,1.575375,4.178
145,1.816208,4.264999
146,1.959333,4.286
147,1.919834,5.905083
148,2.165416,6.186624
149,1.831917,5.907166
150,3.740792,4.018125
151,2.064625,3.847041
152,1.652875,4.377749
153,1.716375,4.764333
154,2.103958,6.430874
155,2.024541,6.353708
156,2.117208,5.667124
157,3.699375,3.582875
158,1.954917,3.73225
159,1.530125,4.252625
160,1.571541,4.663124
161,2.007667,4.3815
162,2.07925,4.512249
163,2.058875,6.071249
164,2.202458,5.311875
165,1.879375,4.973875
166,3.413917,3.821874
167,1.551583,4.380999
168,1.774792,4.540166
169,2.102,4.262708
170,2.024667,4.430499
171,1.941583,5.721749
172,1.800708,5.779083
173,1.972542,5.736791
174,3.55575,4.394791
175,1.667417,4.604666
176,1.907291,4.165791
177,2.092584,3.988375
178,2.004249,5.877875
179,1.73975,5.722083
180,1.742791,5.737875
181,3.836292,3.858125
182,1.644167,4.379625
183,1.701458,4.440999
184,2.110875,4.015666
185,2.045249,4.058624
186,1.790083,5.948333
187,1.664625,5.771333
188,2.014749,5.642416
189,3.724,3.827416
190,1.798084,4.268083
191,1.701958,4.069374
192,1.973042,3.776374
193,1.984708,3.898124
194,1.696792,5.810749
195,1.600833,5.300124
196,2.074833,5.226083
197,3.484709,3.7765
198,1.587541,4.192625
199,1.902,3.72025
200,2.091791,3.585999
201,1.780625,3.904916
202,1.470333,4.508125
203,1.756792,6.186874
204,2.095457,6.176375
205,2.076833,5.946708
206,3.50825,3.806916
207,2.118833,2.922541
208,2.041417,3.005875
209,1.659916,3.545874
210,1.488125,4.05975
211,1.661959,5.854291
212,1.98975,5.952916
213,2.007416,5.938499
214,3.329125,4.175874
215,2.10725,3.601458
216,1.990834,3.628916
217,1.73575,3.920249
218,1.709666,3.972708
219,1.8225,5.469999
220,1.883542,5.833874
221,1.769125,5.870874
222,3.414542,4.034624
223,2.1065,3.52875
224,1.8365,3.766333
225,1.717708,3.947374
226,1.445625,4.259333
227,2.060708,5.749749
228,2.098125,5.769208
229,1.677834,5.280708
230,3.452625,3.735125
231,2.053999,3.326166
232,1.769375,3.617124
233,1.460833,4.217749
234,1.747,4.259624
235,1.856875,5.98025
236,2.065167,5.742458
237,1.775958,5.434749
238,3.60625,3.16375
239,1.728542,3.22225
240,1.682125,3.521666
241,1.604833,4.017625
242,1.602667,4.372458
243,1.893208,4.059416
244,1.960208,5.700416
245,2.030667,5.244375
246,1.785583,4.905666
247,3.322417,3.160999
248,1.728,3.492208
249,1.391708,3.914374
250,1.828667,4.169624
251,1.754083,3.924708
252,1.957625,4.104125
253,1.82975,4.247833
254,1.625417,4.158125
255,2.193583,4.791124
256,2.00325,4.916666
257,1.4145,5.491166
258,2.811667,4.232874
259,2.110792,3.4415
260,2.008708,5.386416
261,1.657333,5.614416
262,1.591,5.401458
263,3.526542,3.484874
264,1.83725,3.576291
265,1.713708,3.869374
266,1.724667,3.838791
267,1.669,3.673458
268,1.917083,3.351
269,1.765,5.172916
270,1.465667,5.349499
271,1.572042,5.359624
272,3.829208,3.384875
273,1.715167,3.719249
274,1.5655,3.962958
275,1.663916,3.7945
276,1.883959,3.421625
277,1.782958,3.637083
278,1.528708,5.525791
279,1.757167,5.277958
280,1.812167,4.837291
281,3.330833,3.787124
282,1.685333,4.147375
283,1.431084,4.33525
284,2.082583,3.765625
285,2.0735,3.613375
286,1.5915,5.467499
287,1.708833,4.966625
288,1.942875,4.694625
289,3.20525,3.646624
290,1.482209,3.881125
291,1.898416,3.863624
292,1.676917,3.6735
293,2.096582,3.2455
294,1.507584,3.820583
295,1.477916,5.639125
296,1.73325,5.469541
297,2.080833,5.276208
298,3.304208,3.744499
299,1.520167,3.890624
300,1.921333,3.189124
301,1.992,2.973166
302,1.41775,3.639375
303,1.46975,5.612916
304,1.771208,5.239958
305,1.844917,4.937999
306,3.387042,3.845583
307,1.734458,3.838125
308,1.4425,3.892166
309,2.106333,3.34425
310,1.901667,3.261999
311,1.549917,3.564458
312,1.531041,3.803791
313,1.675209,5.226208
314,2.210375,4.876374
315,1.411458,5.190083
316,3.103083,3.762874
